iter	Logloss
241	0.4883752991
242	0.4883752829
243	0.4883752618
244	0.4883752572
245	0.488375239
246	0.4883752374
247	0.4883752357
248	0.4883752202
249	0.4883752145
250	0.4883752038
251	0.4883751843
252	0.4883751818
253	0.4883751772
254	0.4883751674
255	0.4883751607
256	0.4883751577
257	0.4883751488
258	0.4883751435
259	0.4883751393
260	0.4879621804
261	0.4879621754
262	0.487962172
263	0.4879621699
264	0.4879621655
265	0.4877319417
266	0.4877319303
267	0.4877319208
268	0.4877319132
269	0.4877319082
270	0.4877319048
271	0.4877319036
272	0.4877318991
273	0.4877318953
274	0.4877318923
275	0.4877318914
276	0.4867588812
277	0.4867588812
278	0.4866818081
279	0.4866818067
280	0.4866818054
281	0.4858370483
282	0.4858370454
283	0.4847841392
284	0.4847841092
285	0.484784076
286	0.4847840599
287	0.4847840373
288	0.4847840368
289	0.4841524527
290	0.4841524365
291	0.484152405
292	0.4841523667
293	0.4841523647
294	0.4841523455
295	0.4841523246
296	0.484082213
297	0.4838850731
298	0.4838850731
299	0.483885073
300	0.4838850729
301	0.4838850728
302	0.4793521214
303	0.4793520791
304	0.4793511631
305	0.47935114
306	0.4793471242
307	0.479347119
308	0.4793471041
309	0.4793470861
310	0.4793470778
311	0.4793470678
312	0.4793470592
313	0.4790732732
314	0.4790732731
315	0.4790732624
316	0.4790732593
317	0.479073251
318	0.4783824413
319	0.4783824354
320	0.4777372485
321	0.4777372287
322	0.4777372231
323	0.4777372185
324	0.477737204
325	0.4770482742
326	0.4764937626
327	0.4764937407
328	0.4764937221
329	0.476493707
330	0.476234078
331	0.4762340744
332	0.476234074
333	0.4762340605
334	0.4762340544
335	0.4762340468
336	0.4753590712
337	0.4753590669
338	0.4753590587
339	0.4753590472
340	0.4753590456
341	0.4753590333
342	0.4753590269
343	0.4753590179
344	0.4753590106
345	0.4753590075
346	0.4753590021
347	0.4753589976
348	0.4753589939
349	0.475358991
350	0.4749795695
351	0.4749795683
352	0.4749795642
353	0.474380148
354	0.4743801469
355	0.4743508315
356	0.4743508308
357	0.4743508303
358	0.4743508296
359	0.474350829
360	0.4743508288
361	0.4743508287
362	0.4743508283
363	0.4743508279
364	0.4742985878
365	0.4742985876
366	0.4742985875
367	0.4742985875
368	0.4742985872
369	0.4737167376
370	0.4698952908
371	0.4663100324
372	0.463833669
373	0.4638336604
374	0.4638336575
375	0.4638336496
376	0.4638336384
377	0.4638336371
378	0.4633505189
379	0.463350511
380	0.4633505091
381	0.4633504797
382	0.4633504782
383	0.4633504766
384	0.4633504564
385	0.4613269578
386	0.4613269571
387	0.4613269425
388	0.4591715139
389	0.4591715075
390	0.4591715073
391	0.4591714964
392	0.4591707249
393	0.4591707246
394	0.4591386836
395	0.4591386821
396	0.4589279404
397	0.4589279373
398	0.4589279344
399	0.4589279267
400	0.4589279203
401	0.4589279157
402	0.4589279146
403	0.4589279103
404	0.4589279091
405	0.4589279059
406	0.4582933729
407	0.4569753386
408	0.4569753361
409	0.4569753358
410	0.4569753348
411	0.4569753329
412	0.4569753314
413	0.4569753307
414	0.4569753299
415	0.4569753294
416	0.4569753286
417	0.4569753278
418	0.4566904076
419	0.4566904075
420	0.4566904075
421	0.4566904075
422	0.4564413415
423	0.4564413386
424	0.4564413357
425	0.4564413333
426	0.4564413313
427	0.4564413297
428	0.4564413283
429	0.4564413278
430	0.4564413268
431	0.456441326
432	0.4564413259
433	0.4564413252
434	0.4564179679
435	0.4564179678
436	0.4564179675
437	0.4564179673
438	0.4562267081
439	0.456226708
440	0.4561620472
441	0.4560310645
442	0.4560310645
443	0.4560310645
444	0.4560310644
445	0.4558621221
446	0.4557923467
447	0.4557923466
448	0.4557923466
449	0.4557516688
450	0.4555828186
451	0.4555828186
452	0.4555771154
453	0.4555771151
454	0.455577115
455	0.4555771149
456	0.4555771148
457	0.4540853351
458	0.4540853317
459	0.4540853289
460	0.4540853265
461	0.454085325
462	0.4540305764
463	0.4540305748
464	0.4540305735
465	0.4540305724
466	0.4538713686
467	0.4538713665
468	0.453869837
469	0.4538698356
470	0.4538698353
471	0.4538698347
472	0.4538698337
473	0.4536905309
474	0.4536905307
475	0.4536905294
476	0.4536905284
477	0.4536358628
478	0.4536358612
479	0.4536358595
480	0.4536358581
481	0.4536358577
482	0.4536358569
483	0.4536358562
484	0.4536358561
485	0.453635856
486	0.4536358552
487	0.4536358546
488	0.4536358543
489	0.4536001722
490	0.4534661641
491	0.4534661633
492	0.4533368542
493	0.4518499328
494	0.4518499318
495	0.4518499295
496	0.4518004191
497	0.4518004145
498	0.4518004126
499	0.4499887079
500	0.4499886967
501	0.4499886875
502	0.4499044315
503	0.4497854628
504	0.4497854611
505	0.4497854609
506	0.4497854545
507	0.4497854535
508	0.4497854486
509	0.4497854486
510	0.4497843615
511	0.4497843581
512	0.4497843566
513	0.4497843541
514	0.4497843538
515	0.4497843528
516	0.4495088785
517	0.4495088757
518	0.4495088756
519	0.4489179271
520	0.448163555
521	0.447935656
522	0.4479356512
523	0.4479356444
524	0.4479356437
525	0.4479356382
526	0.4479356376
527	0.4478765479
528	0.4478203737
529	0.4478203705
530	0.4472136179
531	0.4472136078
532	0.4472136065
533	0.4472135983
534	0.4472135916
535	0.447131102
536	0.446890373
537	0.4468802077
538	0.4468802062
539	0.4468802033
540	0.4468802
541	0.4468801977
542	0.4468177728
543	0.4468177709
544	0.4468177702
545	0.4468177682
546	0.4468177647
547	0.4468177638
548	0.4468177611
549	0.4455666005
550	0.4455665911
551	0.4455665866
552	0.4455665772
553	0.444527311
554	0.4445273098
555	0.4445273053
556	0.4445273044
557	0.4444863539
558	0.4440961456
559	0.4440961451
560	0.4440961449
561	0.4440961448
562	0.4440841982
563	0.4440841976
564	0.4440841967
565	0.4440841959
566	0.4440841953
567	0.4440740913
568	0.4430581876
569	0.4430581862
570	0.443058179
571	0.4430581725
572	0.4430228331
573	0.4430228259
574	0.4430228206
575	0.4430228196
576	0.4430228147
577	0.4430228125
578	0.4424431919
579	0.4424431918
580	0.4424431877
581	0.4424431844
582	0.4424431837
583	0.442443181
584	0.4424431788
585	0.4424431779
586	0.4424431771
587	0.4424431762
588	0.4419486958
589	0.4419486943
590	0.4415820961
591	0.4415820956
592	0.4415820948
593	0.4415820939
594	0.441540954
595	0.4415021037
596	0.4415021035
597	0.4413532029
598	0.4413532025
599	0.4413532022
600	0.4413532021
601	0.4412224716
602	0.4409608106
603	0.4402900738
604	0.4402900735
605	0.4402900735
606	0.4402900734
607	0.440290073
608	0.440290073
609	0.4402398069
610	0.4401344723
611	0.4401344719
612	0.4401344718
613	0.4401344718
614	0.4401344718
615	0.4401344718
616	0.4401344718
617	0.4399515632
618	0.4399399595
619	0.4399399593
620	0.4399399592
621	0.4399399591
622	0.4399110961
623	0.4396285652
624	0.4388054945
625	0.4383764861
626	0.4383764859
627	0.4383764856
628	0.4383764855
629	0.4383764853
630	0.4383764851
631	0.437810125
632	0.4378101223
633	0.4377839535
634	0.437783952
635	0.4377839504
636	0.4377839492
637	0.4377839486
638	0.4377839477
639	0.4377839469
640	0.43777114
641	0.4373938371
642	0.4373938369
643	0.4371692749
644	0.4371692723
645	0.4371692722
646	0.437169271
647	0.4363902308
648	0.4363902293
649	0.4363902278
650	0.4363322728
651	0.436332272
652	0.4363322694
653	0.4363322673
654	0.4363322662
655	0.4363322646
656	0.4363322633
657	0.4363200892
658	0.4363200886
659	0.4363200878
660	0.4363200874
661	0.4362829214
662	0.436260876
663	0.4362608755
664	0.436125104
665	0.4361251039
666	0.4361251038
667	0.4361061835
668	0.4358796275
669	0.4358796275
670	0.4346897914
671	0.434689791
672	0.4344897215
673	0.4344897189
674	0.4344071881
675	0.434407186
676	0.434407178
677	0.4344071707
678	0.4344071632
679	0.4344071513
680	0.4344071479
681	0.4344071434
682	0.4344071351
683	0.4344071283
684	0.4344015361
685	0.4338553434
686	0.4338553417
687	0.4338553361
688	0.4338553339
689	0.4338533955
690	0.4338533923
691	0.4338533915
692	0.4338533889
693	0.4338533868
694	0.4338533857
695	0.4338533842
696	0.4337132785
697	0.4332645822
698	0.4332645799
699	0.4332645745
700	0.4332645659
701	0.433264564
702	0.4331549432
703	0.4331549318
704	0.4331549306
705	0.4331549215
706	0.433154905
707	0.4331549029
708	0.4331548996
709	0.4331548873
710	0.433154877
711	0.4331548749
712	0.4331548739
713	0.4331548679
714	0.4331548614
715	0.4331548607
716	0.4331548554
717	0.4331292788
718	0.433129277
719	0.4331292759
720	0.4331292754
721	0.4331292738
722	0.4330425204
723	0.4325565671
724	0.4325565647
725	0.4325565553
726	0.4325565534
727	0.4325565494
728	0.4325565441
729	0.4325565413
730	0.4325565382
731	0.4325565359
732	0.4325565359
733	0.4325565333
734	0.4313903472
735	0.4313903471
736	0.4313903468
737	0.4313903466
738	0.4313903464
739	0.4311177235
740	0.4311177221
741	0.4311177208
742	0.4309560612
743	0.430956061
744	0.4309445804
745	0.4309445795
746	0.4309445789
747	0.4309445783
748	0.430933183
749	0.4309331829
750	0.4309331829
751	0.4308666158
752	0.4305011016
753	0.4305011012
754	0.430501101
755	0.4305010998
756	0.4303303302
757	0.4303303298
758	0.4298695679
759	0.4298695666
760	0.4298695624
761	0.42986956
762	0.429869559
763	0.4298536322
764	0.4298536297
765	0.4295500624
766	0.4295500598
767	0.4295500576
768	0.4295497567
769	0.4295497555
770	0.4295497547
771	0.4293911574
772	0.4293685776
773	0.4293356085
774	0.4289896756
775	0.4289896754
776	0.4289896753
777	0.4289896753
778	0.4289896752
779	0.4289874551
780	0.4289874551
781	0.4289874551
782	0.4289874551
783	0.4289874551
784	0.4289874551
785	0.4289856303
786	0.4289856303
787	0.4285593918
788	0.4285508967
789	0.4285508962
790	0.4285471873
791	0.4285471869
792	0.4285471866
793	0.4284339413
794	0.4284339409
795	0.4273083221
796	0.4273083079
797	0.4273083076
798	0.4272952058
799	0.4272951981
800	0.4272951927
801	0.4272951851
802	0.4269043451
803	0.4269043373
804	0.4269043371
805	0.4269043369
806	0.4269043317
807	0.426904329
808	0.4262392254
809	0.4262392051
810	0.4262392
811	0.4262391733
812	0.426027867
813	0.4260278657
814	0.4260278446
815	0.4260278311
816	0.4260278237
817	0.4260278153
818	0.4260278123
819	0.4260278009
820	0.4260277946
821	0.425978069
822	0.4255687347
823	0.425568732
824	0.4255687294
825	0.4255687289
826	0.4255687237
827	0.4255687199
828	0.4255687145
829	0.4251325101
830	0.4251325068
831	0.4251324949
832	0.4251324943
833	0.4251324937
834	0.4251324838
835	0.4243990293
836	0.4243990272
837	0.423762307
838	0.4237623025
839	0.4237623023
840	0.423762296
841	0.4237622907
842	0.4237622865
843	0.4230845323
844	0.4230845301
845	0.4230845278
846	0.4230845243
847	0.4230845214
848	0.423084519
849	0.4229212704
850	0.4229212696
851	0.4229212687
852	0.4229212679
853	0.422921267
854	0.4229212665
855	0.4229212657
856	0.4229212649
857	0.4229212642
858	0.422918089
